province;cpv_division;division_name;tender_count
Mazowieckie;92;Usługi rekreacyjne i kulturalne;62
Mazowieckie;22;Drukowane materiały i produkty poligraficzne;52
Mazowieckie;18;Odzież i obuwie;46
Mazowieckie;24;Produkty chemiczne;44
Mazowieckie;73;Usługi badawczo-rozwojowe;33
Mazowieckie;37;Sprzęt sportowy i rekreacyjny;30
Mazowieckie;3;Produkty rolne, łowieckie i rybne;30
Mazowieckie;63;Usługi spedycji i logistyki;29
Mazowieckie;14;Górnictwo i minerały;27
Mazowieckie;35;Sprzęt bezpieczeństwa i ochrony;26
Mazowieckie;98;Pozostałe usługi komunalne i osobiste;24
Mazowieckie;43;Maszyny górnicze;17
Mazowieckie;16;Maszyny rolnicze;16
Mazowieckie;70;Usługi w zakresie nieruchomości;14
Mazowieckie;19;Wyroby skórzane i tekstylne;12
Mazowieckie;51;Usługi instalacyjne;12
Mazowieckie;75;Usługi administracji publicznej;11
Mazowieckie;41;Woda i usługi wodne;4
Mazowieckie;65;Usługi komunalne (gaz, woda, energia);3
Opolskie;45;Roboty budowlane;541
Opolskie;33;Sprzęt medyczny i farmaceutyczny;117
Opolskie;30;Sprzęt komputerowy i biurowy;81
Opolskie;71;Usługi architektoniczne i inżynieryjne;60
Opolskie;9;Produkty naftowe, paliwa i energia;50
Opolskie;34;Sprzęt transportowy i pojazdy;47
Opolskie;15;Artykuły spożywcze i napoje;46
Opolskie;39;Meble i wyposażenie wnętrz;35
Opolskie;80;Usługi edukacyjne;33
Opolskie;79;Usługi biznesowe i doradcze;29
Opolskie;90;Usługi środowiskowe i sanitarne;28
Opolskie;60;Usługi transportu drogowego;27
Opolskie;77;Usługi rolnicze i leśne;23
Opolskie;48;Pakiety oprogramowania;17
Opolskie;63;Usługi spedycji i logistyki;16
Opolskie;32;Sprzęt elektroniczny i telekomunikacyjny;16
Opolskie;55;Usługi hotelarskie i restauracyjne;15
Opolskie;44;Materiały budowlane;15
Opolskie;85;Usługi zdrowotne i społeczne;13
Opolskie;98;Pozostałe usługi komunalne i osobiste;11
Opolskie;72;Usługi informatyczne;11
Opolskie;38;Sprzęt laboratoryjny i naukowy;10
Opolskie;66;Usługi finansowe i ubezpieczeniowe;10
Opolskie;50;Usługi napraw i konserwacji;9
Opolskie;42;Maszyny przemysłowe;9
Opolskie;3;Produkty rolne, łowieckie i rybne;8
Opolskie;37;Sprzęt sportowy i rekreacyjny;5
Opolskie;14;Górnictwo i minerały;4
Opolskie;22;Drukowane materiały i produkty poligraficzne;4
Opolskie;64;Usługi pocztowe i telekomunikacyjne;4
Opolskie;18;Odzież i obuwie;3
Opolskie;92;Usługi rekreacyjne i kulturalne;3
Opolskie;31;Sprzęt elektryczny;3
Opolskie;24;Produkty chemiczne;3
Opolskie;19;Wyroby skórzane i tekstylne;2
Opolskie;16;Maszyny rolnicze;2
Opolskie;43;Maszyny górnicze;2
Opolskie;65;Usługi komunalne (gaz, woda, energia);2
Opolskie;75;Usługi administracji publicznej;1
Podkarpackie;45;Roboty budowlane;1253
Podkarpackie;71;Usługi architektoniczne i inżynieryjne;204
Podkarpackie;33;Sprzęt medyczny i farmaceutyczny;196
Podkarpackie;30;Sprzęt komputerowy i biurowy;184
Podkarpackie;15;Artykuły spożywcze i napoje;134
Podkarpackie;34;Sprzęt transportowy i pojazdy;108
Podkarpackie;90;Usługi środowiskowe i sanitarne;83
Podkarpackie;39;Meble i wyposażenie wnętrz;74
Podkarpackie;9;Produkty naftowe, paliwa i energia;67
Podkarpackie;60;Usługi transportu drogowego;59
Podkarpackie;55;Usługi hotelarskie i restauracyjne;46
Podkarpackie;48;Pakiety oprogramowania;43
Podkarpackie;38;Sprzęt laboratoryjny i naukowy;42
Podkarpackie;79;Usługi biznesowe i doradcze;31
Podkarpackie;80;Usługi edukacyjne;28
Podkarpackie;32;Sprzęt elektroniczny i telekomunikacyjny;28
Podkarpackie;50;Usługi napraw i konserwacji;26
Podkarpackie;3;Produkty rolne, łowieckie i rybne;25
Podkarpackie;85;Usługi zdrowotne i społeczne;22
Podkarpackie;42;Maszyny przemysłowe;20
Podkarpackie;44;Materiały budowlane;19
Podkarpackie;66;Usługi finansowe i ubezpieczeniowe;18
Podkarpackie;77;Usługi rolnicze i leśne;16
Podkarpackie;31;Sprzęt elektryczny;16
Podkarpackie;72;Usługi informatyczne;15
Podkarpackie;14;Górnictwo i minerały;14
Podkarpackie;24;Produkty chemiczne;13
Podkarpackie;18;Odzież i obuwie;13
Podkarpackie;16;Maszyny rolnicze;12
Podkarpackie;37;Sprzęt sportowy i rekreacyjny;11
Podkarpackie;43;Maszyny górnicze;10
Podkarpackie;70;Usługi w zakresie nieruchomości;6
Podkarpackie;64;Usługi pocztowe i telekomunikacyjne;6
Podkarpackie;35;Sprzęt bezpieczeństwa i ochrony;5
Podkarpackie;98;Pozostałe usługi komunalne i osobiste;5
Podkarpackie;73;Usługi badawczo-rozwojowe;4
Podkarpackie;22;Drukowane materiały i produkty poligraficzne;4
Podkarpackie;19;Wyroby skórzane i tekstylne;3
Podkarpackie;75;Usługi administracji publicznej;3
Podkarpackie;63;Usługi spedycji i logistyki;3
Podkarpackie;92;Usługi rekreacyjne i kulturalne;1
Podkarpackie;41;Woda i usługi wodne;1
Podlaskie;45;Roboty budowlane;673
Podlaskie;33;Sprzęt medyczny i farmaceutyczny;123
Podlaskie;71;Usługi architektoniczne i inżynieryjne;118
Podlaskie;30;Sprzęt komputerowy i biurowy;111
Podlaskie;34;Sprzęt transportowy i pojazdy;71
Podlaskie;9;Produkty naftowe, paliwa i energia;61
Podlaskie;80;Usługi edukacyjne;61
Podlaskie;90;Usługi środowiskowe i sanitarne;58
Podlaskie;39;Meble i wyposażenie wnętrz;55
Podlaskie;15;Artykuły spożywcze i napoje;49
Podlaskie;48;Pakiety oprogramowania;26
Podlaskie;60;Usługi transportu drogowego;24
Podlaskie;55;Usługi hotelarskie i restauracyjne;24
Podlaskie;38;Sprzęt laboratoryjny i naukowy;24
Podlaskie;32;Sprzęt elektroniczny i telekomunikacyjny;23
Podlaskie;44;Materiały budowlane;23
Podlaskie;79;Usługi biznesowe i doradcze;20
Podlaskie;50;Usługi napraw i konserwacji;16
Podlaskie;66;Usługi finansowe i ubezpieczeniowe;16
Podlaskie;43;Maszyny górnicze;14
Podlaskie;77;Usługi rolnicze i leśne;14
Podlaskie;31;Sprzęt elektryczny;14
Podlaskie;42;Maszyny przemysłowe;14
Podlaskie;14;Górnictwo i minerały;13
Podlaskie;24;Produkty chemiczne;9
Podlaskie;72;Usługi informatyczne;9
Podlaskie;3;Produkty rolne, łowieckie i rybne;8
Podlaskie;85;Usługi zdrowotne i społeczne;8
Podlaskie;18;Odzież i obuwie;7
Podlaskie;16;Maszyny rolnicze;7
Podlaskie;37;Sprzęt sportowy i rekreacyjny;6
Podlaskie;63;Usługi spedycji i logistyki;6
Podlaskie;70;Usługi w zakresie nieruchomości;5
Podlaskie;73;Usługi badawczo-rozwojowe;5
Podlaskie;92;Usługi rekreacyjne i kulturalne;5
Podlaskie;98;Pozostałe usługi komunalne i osobiste;4
Podlaskie;64;Usługi pocztowe i telekomunikacyjne;4
