cpv_code;cpv_description;total_tenders
03100000-2;Produkty rolnictwa i ogrodnictwa;167
92600000-7;Usługi sportowe;167
34000000-7;Sprzęt transportowy i produkty pomocnicze dla transportu;166
45233294-6;Instalowanie sygnalizacji drogowej;166
38432200-4;Chromatografy;165
45331200-8;Instalowanie urządzeń wentylacyjnych i klimatyzacyjnych;165
85140000-2;Różne usługi w dziedzinie zdrowia;165
45262690-4;Remont starych budynków;164
90470000-2;Usługi czyszczenia kanałów ściekowych;163
80580000-3;Oferowanie kursów językowych;162
98370000-7;Usługi pogrzebowe i podobne;162
22000000-0;Druki i produkty podobne;161
34144710-8;Ładowarki jezdne;161
30233141-1;Nadmiarowa macierz niezależnych dysków (RAID;160
33692500-2;Płyny dożylne;160
39522530-1;Namioty;160
32323500-8;Urządzenia do nadzoru wideo;159
45340000-2;Instalowanie ogrodzeń, płotów i sprzętu ochronnego;159
79820000-8;Usługi związane z drukowaniem;159
45261910-6;Naprawa dachów;158
15981000-8;Wody mineralne;157
45221110-6;Roboty budowlane w zakresie mostów;157
45244000-9;Wodne roboty budowlane;157
48700000-5;Pakiety oprogramowania użytkowego;157
34921100-0;Zamiatarki drogowe;156
39710000-2;Elektryczny sprzęt gospodarstwa domowego;156
45232430-5;Roboty w zakresie uzdatniania wody;156
90721800-5;Usługi ochrony przed naturalnym ryzykiem lub zagrożeniami;156
63510000-7;Usługi biur podróży i podobne;155
90915000-4;Usługi czyszczenia pieców i kominów;155
22100000-1;Drukowane książki, broszury i ulotki;154
30100000-0;Maszyny biurowe, sprzęt i materiały, z wyjątkiem komputerów, drukarek i mebli;153
43800000-1;Urządzenia warsztatowe;153
45232130-2;Roboty budowlane w zakresie rurociągów do odprowadzania wody burzowej;153
71248000-8;Nadzór nad projektem i dokumentacją;153
71700000-5;Usługi nadzoru i kontroli;152
14212000-0;Granulaty, odłamki, kamień sproszkowany, otoczaki, żwir, kamień rozłupany oraz pokruszony, mieszanki kamienia, mieszanki piasku i żwiru oraz inne kruszywo;151
45212300-9;Roboty budowlane w zakresie budowy artystycznych i kulturalnych obiektów budowlanych;150
45421100-5;Instalowanie drzwi i okien, i podobnych elementów;150
31680000-6;Elektryczne artykuły i akcesoria;149
39113100-8;Fotele;149
45112700-2;Roboty w zakresie kształtowania terenu;149
45261215-4;Pokrywanie dachów panelami ogniw słonecznych;149
48761000-0;Pakiety oprogramowania antywirusowego;149
73000000-2;Usługi badawcze i eksperymentalno-rozwojowe oraz pokrewne usługi doradcze;149
45262500-6;Roboty murarskie i murowe;147
50232200-2;Usługi w zakresie konserwacji sygnalizacji ulicznej;147
33793000-5;Laboratoryjne wyroby szklane;146
72263000-6;Usługi wdrażania oprogramowania;145
32320000-2;Sprzęt telewizyjny i audiowizualny;144
39161000-8;Meble przedszkolne;144
50710000-5;Usługi w zakresie napraw i konserwacji elektrycznych i mechanicznych instalacji budynkowych;144
79315000-5;Usługi badań społecznych;144
09135000-4;Oleje opałowe;143
90711500-9;Monitoring środowiska naturalnego inny niż dotyczący branży budowlanej;143
03311000-2;Ryby;142
31000000-6;"Maszyny, aparatura, urządzenia i wyroby elektryczne; oświetlenie";142
32250000-0;Telefony komórkowe;142
33198000-4;Szpitalne wyroby papierowe;142
44000000-0;"Konstrukcje i materiały budowlane; wyroby pomocnicze dla budownictwa (z wyjątkiem aparatury elektrycznej";142
45223000-6;Roboty budowlane w zakresie konstrukcji;140
31710000-6;Sprzęt elektroniczny;138
35120000-1;Systemy i urządzenia nadzoru i bezpieczeństwa;138
38900000-4;Różne przyrządy do badań lub testowania;138
39518000-6;Bielizna szpitalna;138
48730000-4;Pakiety oprogramowania zabezpieczającego;138
50112100-4;Usługi w zakresie napraw samochodów;138
79340000-9;Usługi reklamowe i marketingowe;137
42000000-6;Maszyny przemysłowe;136
44333000-3;Drut;136
30000000-9;Maszyny biurowe i liczące, sprzęt i materiały, z wyjątkiem mebli i pakietów oprogramowania;135
30237200-1;Akcesoria komputerowe;135
34113300-5;Pojazdy terenowe;135
45211340-4;Roboty budowlane w zakresie budownictwa wielorodzinnego;135
79341000-6;Usługi reklamowe;135
42961100-1;System kontroli dostępu;134
15600000-4;Produkty przemiału ziarna, skrobi i produktów skrobiowych;133
30199792-8;Kalendarze;133
33694000-1;Czynniki diagnostyczne;133
45332200-5;Roboty instalacyjne hydrauliczne;132
85147000-1;Usługi zdrowotne świadczone dla firm;132
79951000-5;Usługi w zakresie organizowania seminariów;131
85141200-1;Usługi świadczone przez pielęgniarki;131
90513200-8;Usługi wywozu stałych odpadów miejskich;131
90611000-3;Usługi sprzątania ulic;131
18410000-6;Odzież specjalna;130
24450000-3;Wyroby rolno-chemiczne;130
33652100-6;Środki przeciwnowotworowe;130
45214000-0;Roboty budowlane w zakresie budowy obiektów budowlanych związanych z edukacją i badaniami;130
71317200-5;Usługi w zakresie ochrony zdrowia i bezpieczeństwa;130
90640000-5;Usługi czyszczenia i opróżniania kanałów ściekowych;130
32424000-1;Infrastruktura sieciowa;129
39314000-6;Przemysłowy sprzęt kuchenny;129
43300000-6;Maszyny i sprzęt budowlany;129
45500000-2;Wynajem maszyn i urządzeń wraz z obsługą operatorską do prowadzenia robót z zakresu budownictwa oraz inżynierii wodnej i lądowej;129
48800000-6;Systemy i serwery informacyjne;129
50530000-9;Usługi w zakresie napraw i konserwacji maszyn;128
64212000-5;Usługi telefonii komórkowej;128
30231320-6;Monitory dotykowe;127
